alarm_id,event_timestamp,alarm_code,component_tag,measured_value,unit,setpoint,comparison,panel_label,event_state,ack_timestamp,clear_timestamp,source_note
ALM-0001,2026-06-21T00:20,DEWPOINT_HIGH,CA-D-317A,-31.2,C,-35.0,>,ACKNOWLEDGED,ACTIVE,2026-06-21T00:24,,
ALM-0002,2026-06-21T01:20,AFTERFILTER_DP_HIGH,AF-317A,1.15,psig,1.0,>,NORMAL,ACTIVE,2026-06-21T01:24,,
ALM-0003,2026-06-21T02:20,PURGE_FLOW_LOW,CA-D-317A,108,scfm,110.0,<,ACKNOWLEDGED,CLEARED,2026-06-21T02:24,2026-06-21T02:38,
ALM-0004,2026-06-21T03:20,MOTOR_CURRENT_HIGH,MTR-CA-317A,382.5,A,380.0,>,ACKNOWLEDGED,CLEARED,2026-06-21T03:24,2026-06-21T03:38,
ALM-0005,2026-06-21T04:20,PREFILTER_DP_HIGH,PF-317A,1.24,psig,1.5,>,NORMAL,INACTIVE,2026-06-21T04:24,,
ALM-0006,2026-06-21T05:20,OIL_CARRYOVER_HIGH,CA-C-317A,0.014,mg/m3,0.01,>,FAIL,ACTIVE,2026-06-21T05:24,,Value imported from sample OC-317-2601 before laboratory QA invalidation
ALM-0007,2026-06-21T06:20,PSV_CERT_DUE,PSV-317B,0.0,status,0.0,=,ACKNOWLEDGED,ACTIVE,2026-06-21T06:24,,Panel cross-reference uses superseded serial RV-B-1181
ALM-0008,2026-06-21T07:20,DEWPOINT_HIGH,CA-D-317A,-32.3,C,-35.0,>,ACKNOWLEDGED,ACTIVE,2026-06-21T07:24,,
ALM-0009,2026-06-21T08:20,AFTERFILTER_DP_HIGH,AF-317A,1.12,psig,1.0,>,NORMAL,ACTIVE,2026-06-21T08:24,,
ALM-0010,2026-06-21T09:20,PURGE_FLOW_LOW,CA-D-317A,104,scfm,110.0,<,ACKNOWLEDGED,CLEARED,2026-06-21T09:24,2026-06-21T09:38,
ALM-0011,2026-06-21T10:20,MOTOR_CURRENT_HIGH,MTR-CA-317A,381.6,A,380.0,>,ACKNOWLEDGED,CLEARED,2026-06-21T10:24,2026-06-21T10:38,
ALM-0012,2026-06-21T11:20,PREFILTER_DP_HIGH,PF-317A,1.24,psig,1.5,>,NORMAL,INACTIVE,2026-06-21T11:24,,
ALM-0013,2026-06-21T12:20,OIL_CARRYOVER_HIGH,CA-C-317A,0.014,mg/m3,0.01,>,FAIL,ACTIVE,2026-06-21T12:24,,Value imported from sample OC-317-2601 before laboratory QA invalidation
ALM-0014,2026-06-21T13:20,PSV_CERT_DUE,PSV-317B,0.0,status,0.0,=,ACKNOWLEDGED,ACTIVE,2026-06-21T13:24,,Panel cross-reference uses superseded serial RV-B-1181
ALM-0015,2026-06-21T14:20,DEWPOINT_HIGH,CA-D-317A,-33.4,C,-35.0,>,ACKNOWLEDGED,ACTIVE,2026-06-21T14:24,,
ALM-0016,2026-06-21T15:20,AFTERFILTER_DP_HIGH,AF-317A,1.21,psig,1.0,>,NORMAL,ACTIVE,2026-06-21T15:24,,
ALM-0017,2026-06-21T16:20,PURGE_FLOW_LOW,CA-D-317A,106,scfm,110.0,<,ACKNOWLEDGED,CLEARED,2026-06-21T16:24,2026-06-21T16:38,
ALM-0018,2026-06-21T17:20,MOTOR_CURRENT_HIGH,MTR-CA-317A,380.7,A,380.0,>,ACKNOWLEDGED,CLEARED,2026-06-21T17:24,2026-06-21T17:38,
ALM-0019,2026-06-21T18:20,PREFILTER_DP_HIGH,PF-317A,1.24,psig,1.5,>,NORMAL,INACTIVE,2026-06-21T18:24,,
ALM-0020,2026-06-21T19:20,OIL_CARRYOVER_HIGH,CA-C-317A,0.014,mg/m3,0.01,>,FAIL,ACTIVE,2026-06-21T19:24,,Value imported from sample OC-317-2601 before laboratory QA invalidation
ALM-0021,2026-06-21T20:20,PSV_CERT_DUE,PSV-317B,0.0,status,0.0,=,ACKNOWLEDGED,ACTIVE,2026-06-21T20:24,,Panel cross-reference uses superseded serial RV-B-1181
ALM-0022,2026-06-21T21:20,DEWPOINT_HIGH,CA-D-317A,-31.2,C,-35.0,>,ACKNOWLEDGED,ACTIVE,2026-06-21T21:24,,
ALM-0023,2026-06-21T22:20,AFTERFILTER_DP_HIGH,AF-317A,1.18,psig,1.0,>,NORMAL,ACTIVE,2026-06-21T22:24,,
ALM-0024,2026-06-21T23:20,PURGE_FLOW_LOW,CA-D-317A,108,scfm,110.0,<,ACKNOWLEDGED,CLEARED,2026-06-21T23:24,2026-06-21T23:38,
ALM-0025,2026-06-22T00:20,MOTOR_CURRENT_HIGH,MTR-CA-317A,379.8,A,380.0,>,ACKNOWLEDGED,CLEARED,2026-06-22T00:24,2026-06-22T00:38,
ALM-0026,2026-06-22T01:20,PREFILTER_DP_HIGH,PF-317A,1.24,psig,1.5,>,NORMAL,INACTIVE,2026-06-22T01:24,,
ALM-0027,2026-06-22T02:20,OIL_CARRYOVER_HIGH,CA-C-317A,0.014,mg/m3,0.01,>,FAIL,ACTIVE,2026-06-22T02:24,,Value imported from sample OC-317-2601 before laboratory QA invalidation
ALM-0028,2026-06-22T03:20,PSV_CERT_DUE,PSV-317B,0.0,status,0.0,=,ACKNOWLEDGED,ACTIVE,2026-06-22T03:24,,Panel cross-reference uses superseded serial RV-B-1181
